from,to,distance
1058,914,0.946262
806,817,0.946237
817,806,0.946237
800,806,0.946181
1014,1006,0.946134
1006,1014,0.946134
1567,1719,0.946059
1567,1718,0.946059
1422,952,0.945884
1483,1384,0.945829
1244,952,0.945825
724,1566,0.945824
195,84,0.945715
10,1600,0.945621
1600,10,0.945621
1070,888,0.945361
1010,774,0.945338
1267,1495,0.945294
1495,1267,0.945294
1294,1377,0.945262
2018,1290,0.945249
1290,2018,0.945249
1532,114,0.945235
1090,1151,0.945204
1099,828,0.945169
828,1099,0.945169
911,1152,0.945076
1152,911,0.945076
183,405,0.945073
405,183,0.945073
836,954,0.945036
907,819,0.944907
1477,1461,0.944884
1461,1477,0.944884
1041,130,0.944866
1789,458,0.944729
458,1789,0.944729
105,1719,0.944640
105,1718,0.944640
946,801,0.944605
1140,818,0.944600
818,1140,0.944600
1010,186,0.944510
186,1010,0.944510
2066,1266,0.944508
346,612,0.944439
845,1386,0.944385
1386,845,0.944385
20,1587,0.944373
1031,1284,0.944252
1284,1031,0.944252
691,540,0.944225
564,1574,0.944200
1305,1152,0.944173
603,336,0.944140
336,603,0.944140
1006,1481,0.944076
834,143,0.944063
143,834,0.944063
429,419,0.944028
419,429,0.944028
295,782,0.943954
782,295,0.943954
564,20,0.943921
20,564,0.943921
786,680,0.943837
907,826,0.943815
1501,1099,0.943703
1655,442,0.943680
844,915,0.943653
1838,2043,0.943598
2043,1838,0.943598
783,773,0.943567
773,783,0.943567
1649,19,0.943380
19,1649,0.943380
1892,952,0.943284
1532,818,0.943218
1874,454,0.943051
454,1874,0.943051
1518,1310,0.943041
1427,1374,0.942962
1358,899,0.942949
899,1358,0.942949
1844,379,0.942929
479,1566,0.942926
1303,1362,0.942854
1362,1303,0.942854
1101,944,0.942751
1445,1451,0.942630
1451,1445,0.942630
1326,1202,0.942589
675,30,0.942527
30,675,0.942527
1844,102,0.942514
1892,1655,0.942413
1655,1892,0.942413
333,491,0.942375
1303,1224,0.942276
1224,1303,0.942276
2004,18,0.942265
18,2004,0.942265
1518,1384,0.942235
860,964,0.942201
1027,1216,0.942187
798,807,0.942134
429,253,0.942066
253,429,0.942066
691,87,0.941900
603,870,0.941848
1415,985,0.941814
1801,1016,0.941661
1016,1801,0.941661
1005,914,0.941586
1342,1246,0.941551
622,1764,0.941530
1764,622,0.941530
1500,1533,0.941491
1533,1500,0.941491
1244,1041,0.941479
499,2006,0.941478
2006,499,0.941478
2090,736,0.941476
736,2090,0.941476
364,1836,0.941422
899,1506,0.941421
459,492,0.941393
492,459,0.941393
661,501,0.941362
501,661,0.941362
1264,130,0.941352
1440,1446,0.941296
1446,1440,0.941296
1446,952,0.941061
875,801,0.940955
605,1972,0.940938
1972,605,0.940938
1739,1573,0.940905
1217,1222,0.940889
1222,1217,0.940889
1059,1245,0.940868
1802,924,0.940817
924,1802,0.940817
2058,1435,0.940778
1101,1140,0.940677
725,1623,0.940428
1623,725,0.940428
929,889,0.940410
306,1990,0.940400
1990,306,0.940400
1346,364,0.940303
798,819,0.940298
8,57,0.940146
57,8,0.940146
405,0,0.940089
1509,1010,0.940074
1486,1184,0.940004
1294,1336,0.939903
1336,1294,0.939903
297,1836,0.939786
1501,1336,0.939693
1408,1267,0.939673
1267,1408,0.939673
857,816,0.939653
816,857,0.939653
1436,1330,0.939562
1955,491,0.939515
1519,1294,0.939495
1394,1102,0.939440
443,896,0.939439
778,379,0.939395
1264,931,0.939391
19,195,0.939387
723,442,0.939366
890,1440,0.939223
1107,1392,0.939162
1447,996,0.939160
996,1447,0.939160
