from,to,distance
925,1186,0.968172
1186,925,0.968172
1091,124,0.968170
124,1091,0.968170
837,1260,0.967937
739,916,0.967874
850,916,0.967871
1041,267,0.967858
267,1041,0.967858
43,44,0.967786
44,43,0.967786
779,924,0.967746
924,779,0.967746
739,291,0.967728
291,739,0.967728
1292,793,0.967688
793,1292,0.967688
1193,500,0.967528
894,379,0.967460
412,1306,0.967427
1306,412,0.967427
54,55,0.967383
120,159,0.967263
159,120,0.967263
31,1267,0.967222
317,503,0.967203
1053,802,0.967198
802,1053,0.967198
521,255,0.967079
255,521,0.967079
1339,1338,0.967018
1338,1339,0.967018
952,882,0.967003
882,952,0.967003
1142,1108,0.966951
1108,1142,0.966951
984,917,0.966943
1309,1275,0.966920
153,152,0.966850
152,153,0.966850
501,317,0.966796
1374,1402,0.966686
1402,1374,0.966686
242,239,0.966534
239,242,0.966534
382,386,0.966425
1160,1415,0.966410
1415,1160,0.966410
98,411,0.966387
1360,525,0.966319
1034,1038,0.966319
1038,1034,0.966319
1334,1311,0.966298
1311,1334,0.966298
1142,850,0.966100
28,27,0.966044
27,28,0.966044
1369,1257,0.965988
483,857,0.965975
857,483,0.965975
1091,515,0.965925
380,387,0.965889
92,1310,0.965879
1310,92,0.965879
727,645,0.965824
906,904,0.965764
904,906,0.965764
463,457,0.965751
789,317,0.965724
851,849,0.965711
849,851,0.965711
747,388,0.965658
42,1038,0.965557
1038,42,0.965557
668,669,0.965538
669,668,0.965538
496,515,0.965508
964,1307,0.965383
243,1043,0.965277
744,742,0.965199
178,177,0.965174
791,419,0.965132
687,698,0.964978
698,687,0.964978
747,502,0.964862
902,850,0.964836
307,288,0.964686
381,917,0.964685
653,652,0.964674
652,653,0.964674
1159,152,0.964671
192,909,0.964654
909,192,0.964654
1391,881,0.964648
907,902,0.964584
894,1403,0.964583
1403,894,0.964583
1110,70,0.964541
1110,74,0.964541
70,1110,0.964541
74,1110,0.964541
1318,1311,0.964493
1292,876,0.964469
876,1292,0.964469
746,1292,0.964397
908,922,0.964365
922,908,0.964365
1315,515,0.964238
496,501,0.964225
1169,851,0.964167
382,1204,0.964003
1336,35,0.963952
35,1336,0.963952
842,1392,0.963938
931,739,0.963927
749,1321,0.963910
1276,1343,0.963722
245,500,0.963700
1391,388,0.963587
842,951,0.963558
907,1142,0.963537
843,1186,0.963527
1169,844,0.963519
876,317,0.963512
273,843,0.963491
1205,1215,0.963486
1215,1205,0.963486
401,402,0.963466
402,401,0.963466
204,191,0.963446
191,204,0.963446
743,745,0.963425
745,743,0.963425
141,139,0.963423
139,141,0.963423
832,289,0.963363
1151,1134,0.963312
506,657,0.963289
799,1154,0.963281
1154,799,0.963281
300,295,0.963258
1376,388,0.963205
287,832,0.963085
832,287,0.963085
901,907,0.963037
279,306,0.963029
1315,791,0.962966
904,908,0.962876
191,207,0.962797
207,191,0.962797
68,1288,0.962720
1288,68,0.962720
1157,1311,0.962691
910,905,0.962638
905,910,0.962638
1053,791,0.962542
1310,1306,0.962515
1096,768,0.962500
476,457,0.962482
31,1307,0.962471
1068,567,0.962240
567,1068,0.962240
568,519,0.962235
519,568,0.962235
749,1334,0.962233
905,1041,0.962166
1041,905,0.962166
345,1311,0.962148
35,1317,0.962128
126,143,0.962107
143,126,0.962107
1412,388,0.962083
173,208,0.962006
208,173,0.962006
227,221,0.961977
896,1160,0.961763
1160,896,0.961763
497,515,0.961746
793,1170,0.961670
1170,793,0.961670
930,567,0.961627
567,930,0.961627
909,910,0.961547
910,909,0.961547
401,409,0.961542
409,401,0.961542
680,689,0.961516
48,909,0.961514
1360,1159,0.961487
1159,1360,0.961487
924,1108,0.961462
201,158,0.961451
158,201,0.961451
959,954,0.961420
954,959,0.961420
1047,1046,0.961329
1046,1047,0.961329
478,479,0.961326
479,478,0.961326
837,244,0.961271
873,718,0.961243
514,512,0.961184
77,1268,0.961144
1082,1307,0.961116
65,1142,0.961090
1034,1068,0.961080
1068,1034,0.961080
462,463,0.961069
854,1156,0.961012
1156,854,0.961012
492,502,0.961002
1293,191,0.960977
384,1110,0.960915
