from,to,distance
2964,2531,0.760244
4542,5490,0.759886
3811,996,0.759671
3811,990,0.759644
3125,1892,0.758743
1892,3125,0.758743
3073,1646,0.758201
2388,5156,0.757963
3885,2656,0.757714
3131,185,0.757554
4777,3945,0.757083
295,184,0.756053
491,3192,0.755977
1421,2645,0.755967
2153,369,0.755361
2335,2381,0.754405
4254,352,0.754013
3791,632,0.753378
3929,3320,0.753307
604,5461,0.753188
2335,2718,0.753026
5420,3925,0.752821
1699,3269,0.752588
2685,2176,0.752310
5401,487,0.752082
5401,4483,0.751734
1636,1041,0.751671
966,2586,0.751317
2530,3224,0.749404
4799,4726,0.749080
112,1278,0.748840
2530,3602,0.748192
109,115,0.747194
2685,4092,0.747182
5420,2492,0.747071
3865,1699,0.746569
2383,2771,0.746441
148,1503,0.746385
148,1524,0.746385
2383,2502,0.746366
4559,2933,0.746303
2377,2666,0.745798
4687,3230,0.744767
2460,205,0.744561
4153,5011,0.744324
4777,2456,0.743504
4608,9,0.741540
3885,3075,0.740588
4592,4937,0.739469
3081,1242,0.739201
293,351,0.739129
4299,1911,0.738416
2966,3608,0.738369
4724,3301,0.737117
1951,5273,0.737011
4687,3871,0.736666
294,2467,0.736273
4686,4687,0.735489
4799,4629,0.734865
3328,3326,0.734187
841,1965,0.734021
5084,5273,0.733691
4299,469,0.733497
112,109,0.733264
3359,3358,0.732824
841,5105,0.732336
2966,1207,0.732141
3325,310,0.730122
4592,3678,0.728410
604,5132,0.727364
1891,314,0.726639
3328,3327,0.726342
1891,320,0.725443
3308,2771,0.725313
4724,4563,0.723050
114,109,0.719204
3909,3803,0.716370
4686,3871,0.716294
221,287,0.715852
4559,3296,0.712505
114,5195,0.711796
3359,324,0.711387
221,141,0.710709
3308,3437,0.709856
915,2823,0.709841
2382,4715,0.709673
2887,350,0.708961
3956,4635,0.707965
665,4079,0.707937
3909,1925,0.705678
3956,1906,0.704245
665,868,0.700914
2887,3071,0.698364
1502,30,0.686979
2317,2505,0.686407
4097,997,0.685902
1669,502,0.684668
1669,3378,0.684570
915,1965,0.680526
5394,929,0.679182
5394,904,0.674531
1502,2448,0.671867
2317,5488,0.670959
2382,3780,0.670897
3918,491,0.668899
2776,2771,0.663871
2776,2383,0.660984
3918,1192,0.660635
24,109,0.655239
4097,206,0.643936
2760,4283,0.643372
2760,5485,0.641587
24,140,0.629016
4307,314,0.615165
4307,4687,0.608863
4225,4687,0.587470
4225,3095,0.572466
