index,filename,cluster,distance
3811,dataset\81. academicPhotos\academicPhotos0004149.jpg,0,588.997498
2776,dataset\81. academicPhotos\academicPhotos0002966.jpg,8,587.143799
652,dataset\81. academicPhotos\academicPhotos0000680.jpg,4,585.615662
3668,dataset\81. academicPhotos\academicPhotos0003995.jpg,8,585.129028
4830,dataset\81. academicPhotos\academicPhotos0005260.jpg,3,584.666199
4254,dataset\81. academicPhotos\academicPhotos0004645.jpg,5,584.641418
3093,dataset\81. academicPhotos\academicPhotos0003316.jpg,7,584.572998
3742,dataset\81. academicPhotos\academicPhotos0004070.jpg,8,584.522949
3963,dataset\81. academicPhotos\academicPhotos0004325.jpg,0,582.720337
546,dataset\81. academicPhotos\academicPhotos0000565.jpg,3,582.609619
3948,dataset\81. academicPhotos\academicPhotos0004308.jpg,5,581.912964
47,dataset\81. academicPhotos\academicPhotos0000049.jpg,0,581.716858
2656,dataset\81. academicPhotos\academicPhotos0002839.jpg,2,581.397949
4686,dataset\81. academicPhotos\academicPhotos0005111.jpg,3,579.978638
2111,dataset\81. academicPhotos\academicPhotos0002244.jpg,4,579.874207
3882,dataset\81. academicPhotos\academicPhotos0004221.jpg,0,578.813232
1084,dataset\81. academicPhotos\academicPhotos0001156.jpg,3,577.305176
1063,dataset\81. academicPhotos\academicPhotos0001135.jpg,3,577.305176
1081,dataset\81. academicPhotos\academicPhotos0001153.jpg,3,575.501038
1066,dataset\81. academicPhotos\academicPhotos0001138.jpg,3,575.501038
586,dataset\81. academicPhotos\academicPhotos0000607.jpg,3,574.160522
1669,dataset\81. academicPhotos\academicPhotos0001775.jpg,3,573.596069
4903,dataset\81. academicPhotos\academicPhotos0005337.jpg,3,573.384644
3083,dataset\81. academicPhotos\academicPhotos0003304.jpg,2,573.080933
2119,dataset\81. academicPhotos\academicPhotos0002252.jpg,0,571.818237
2227,dataset\81. academicPhotos\academicPhotos0002386.jpg,2,571.164307
91,dataset\81. academicPhotos\academicPhotos0000093.jpg,3,566.695618
3511,dataset\81. academicPhotos\academicPhotos0003833.jpg,5,565.600220
37,dataset\81. academicPhotos\academicPhotos0000038.jpg,1,565.371582
4108,dataset\81. academicPhotos\academicPhotos0004487.jpg,0,564.428101
286,dataset\81. academicPhotos\academicPhotos0000298.jpg,5,562.433350
2485,dataset\81. academicPhotos\academicPhotos0002661.jpg,2,562.186157
5072,dataset\81. academicPhotos\academicPhotos0005519.jpg,8,561.706055
87,dataset\81. academicPhotos\academicPhotos0000089.jpg,1,560.515015
495,dataset\81. academicPhotos\academicPhotos0000514.jpg,1,560.118042
2585,dataset\81. academicPhotos\academicPhotos0002765.jpg,0,559.467407
522,dataset\81. academicPhotos\academicPhotos0000541.jpg,1,559.333862
2011,dataset\81. academicPhotos\academicPhotos0002143.jpg,9,559.271118
1997,dataset\81. academicPhotos\academicPhotos0002129.jpg,9,559.271118
3071,dataset\81. academicPhotos\academicPhotos0003288.jpg,0,559.042969
3155,dataset\81. academicPhotos\academicPhotos0003389.jpg,4,557.239014
4911,dataset\81. academicPhotos\academicPhotos0005345.jpg,3,555.991150
4317,dataset\81. academicPhotos\academicPhotos0004715.jpg,1,555.816956
3737,dataset\81. academicPhotos\academicPhotos0004064.jpg,8,554.772339
4730,dataset\81. academicPhotos\academicPhotos0005157.jpg,8,554.740601
3077,dataset\81. academicPhotos\academicPhotos0003295.jpg,2,554.553589
1087,dataset\81. academicPhotos\academicPhotos0001159.jpg,3,554.238037
1060,dataset\81. academicPhotos\academicPhotos0001132.jpg,3,554.238037
4687,dataset\81. academicPhotos\academicPhotos0005112.jpg,6,552.176453
3758,dataset\81. academicPhotos\academicPhotos0004087.jpg,8,551.973450
1660,dataset\81. academicPhotos\academicPhotos0001765.jpg,8,551.576294
654,dataset\81. academicPhotos\academicPhotos0000682.jpg,4,551.398987
4820,dataset\81. academicPhotos\academicPhotos0005250.jpg,3,550.055786
3529,dataset\81. academicPhotos\academicPhotos0003851.jpg,8,549.705078
3473,dataset\81. academicPhotos\academicPhotos0003793.jpg,1,547.750732
153,dataset\81. academicPhotos\academicPhotos0000158.jpg,1,547.185059
2082,dataset\81. academicPhotos\academicPhotos0002214.jpg,4,546.688110
252,dataset\81. academicPhotos\academicPhotos0000261.jpg,1,546.206665
1486,dataset\81. academicPhotos\academicPhotos0001581.jpg,0,545.781433
198,dataset\81. academicPhotos\academicPhotos0000205.jpg,3,544.867798
3084,dataset\81. academicPhotos\academicPhotos0003305.jpg,0,544.413940
199,dataset\81. academicPhotos\academicPhotos0000206.jpg,3,544.220825
2323,dataset\81. academicPhotos\academicPhotos0002490.jpg,2,542.027588
2530,dataset\81. academicPhotos\academicPhotos0002709.jpg,0,541.997070
1281,dataset\81. academicPhotos\academicPhotos0001366.jpg,4,541.863037
2991,dataset\81. academicPhotos\academicPhotos0003201.jpg,0,541.506592
4277,dataset\81. academicPhotos\academicPhotos0004669.jpg,0,540.148438
303,dataset\81. academicPhotos\academicPhotos0000315.jpg,3,539.664307
4419,dataset\81. academicPhotos\academicPhotos0004819.jpg,8,539.394775
515,dataset\81. academicPhotos\academicPhotos0000534.jpg,1,538.006958
859,dataset\81. academicPhotos\academicPhotos0000910.jpg,7,537.923950
1358,dataset\81. academicPhotos\academicPhotos0001451.jpg,8,537.420227
4191,dataset\81. academicPhotos\academicPhotos0004575.jpg,5,536.946655
4759,dataset\81. academicPhotos\academicPhotos0005187.jpg,2,536.935059
4103,dataset\81. academicPhotos\academicPhotos0004482.jpg,0,536.359314
2458,dataset\81. academicPhotos\academicPhotos0002631.jpg,3,536.010742
1636,dataset\81. academicPhotos\academicPhotos0001740.jpg,0,534.491089
1496,dataset\81. academicPhotos\academicPhotos0001591.jpg,4,534.181458
5267,dataset\81. academicPhotos\academicPhotos0005718.jpg,3,532.811462
2714,dataset\81. academicPhotos\academicPhotos0002899.jpg,0,532.769775
83,dataset\81. academicPhotos\academicPhotos0000085.jpg,0,532.363464
4760,dataset\81. academicPhotos\academicPhotos0005188.jpg,2,531.272339
4833,dataset\81. academicPhotos\academicPhotos0005263.jpg,3,530.375488
3666,dataset\81. academicPhotos\academicPhotos0003993.jpg,8,529.886597
3267,dataset\81. academicPhotos\academicPhotos0003516.jpg,1,529.795410
2444,dataset\81. academicPhotos\academicPhotos0002615.jpg,0,529.645752
4142,dataset\81. academicPhotos\academicPhotos0004523.jpg,8,529.581970
575,dataset\81. academicPhotos\academicPhotos0000596.jpg,1,529.347778
5458,dataset\81. academicPhotos\academicPhotos0005927.jpg,0,528.230408
2887,dataset\81. academicPhotos\academicPhotos0003086.jpg,3,526.033997
4136,dataset\81. academicPhotos\academicPhotos0004516.jpg,0,525.778259
1566,dataset\81. academicPhotos\academicPhotos0001668.jpg,9,525.453979
2299,dataset\81. academicPhotos\academicPhotos0002462.jpg,2,525.446289
1055,dataset\81. academicPhotos\academicPhotos0001127.jpg,3,525.178406
1082,dataset\81. academicPhotos\academicPhotos0001154.jpg,3,525.017944
1065,dataset\81. academicPhotos\academicPhotos0001137.jpg,3,525.017944
587,dataset\81. academicPhotos\academicPhotos0000608.jpg,3,524.536377
205,dataset\81. academicPhotos\academicPhotos0000212.jpg,3,524.271851
2730,dataset\81. academicPhotos\academicPhotos0002915.jpg,4,523.585144
2990,dataset\81. academicPhotos\academicPhotos0003199.jpg,0,523.088013
1647,dataset\81. academicPhotos\academicPhotos0001751.jpg,0,522.613159
1458,dataset\81. academicPhotos\academicPhotos0001552.jpg,1,522.041870
783,dataset\81. academicPhotos\academicPhotos0000819.jpg,1,521.765381
148,dataset\81. academicPhotos\academicPhotos0000151.jpg,3,521.495728
3566,dataset\81. academicPhotos\academicPhotos0003890.jpg,5,521.393188
4175,dataset\81. academicPhotos\academicPhotos0004558.jpg,1,521.227905
724,dataset\81. academicPhotos\academicPhotos0000753.jpg,0,521.041565
2123,dataset\81. academicPhotos\academicPhotos0002257.jpg,0,520.682617
811,dataset\81. academicPhotos\academicPhotos0000849.jpg,3,520.150940
89,dataset\81. academicPhotos\academicPhotos0000091.jpg,3,520.081116
3308,dataset\81. academicPhotos\academicPhotos0003562.jpg,9,519.848511
5420,dataset\81. academicPhotos\academicPhotos0005884.jpg,6,519.360718
1527,dataset\81. academicPhotos\academicPhotos0001622.jpg,0,518.273193
3090,dataset\81. academicPhotos\academicPhotos0003313.jpg,1,518.169434
4211,dataset\81. academicPhotos\academicPhotos0004597.jpg,8,517.859863
899,dataset\81. academicPhotos\academicPhotos0000951.jpg,0,517.540161
3335,dataset\81. academicPhotos\academicPhotos0003610.jpg,8,517.405151
541,dataset\81. academicPhotos\academicPhotos0000560.jpg,0,516.749329
551,dataset\81. academicPhotos\academicPhotos0000570.jpg,1,516.676697
641,dataset\81. academicPhotos\academicPhotos0000666.jpg,4,515.685547
548,dataset\81. academicPhotos\academicPhotos0000567.jpg,3,514.230225
4910,dataset\81. academicPhotos\academicPhotos0005344.jpg,3,513.248474
1521,dataset\81. academicPhotos\academicPhotos0001616.jpg,3,513.232666
1481,dataset\81. academicPhotos\academicPhotos0001576.jpg,4,513.193359
5356,dataset\81. academicPhotos\academicPhotos0005810.jpg,3,512.293091
3946,dataset\81. academicPhotos\academicPhotos0004306.jpg,5,511.494324
2724,dataset\81. academicPhotos\academicPhotos0002909.jpg,2,511.223267
2966,dataset\81. academicPhotos\academicPhotos0003170.jpg,8,511.162903
3422,dataset\81. academicPhotos\academicPhotos0003740.jpg,0,511.098145
3481,dataset\81. academicPhotos\academicPhotos0003803.jpg,5,510.594482
844,dataset\81. academicPhotos\academicPhotos0000893.jpg,0,509.441895
810,dataset\81. academicPhotos\academicPhotos0000848.jpg,4,508.877136
3515,dataset\81. academicPhotos\academicPhotos0003837.jpg,1,508.623596
4626,dataset\81. academicPhotos\academicPhotos0005046.jpg,3,507.498962
4912,dataset\81. academicPhotos\academicPhotos0005346.jpg,3,507.480286
5361,dataset\81. academicPhotos\academicPhotos0005816.jpg,3,506.403381
3790,dataset\81. academicPhotos\academicPhotos0004124.jpg,0,505.699097
4590,dataset\81. academicPhotos\academicPhotos0005007.jpg,5,505.248657
2300,dataset\81. academicPhotos\academicPhotos0002463.jpg,1,505.191284
3387,dataset\81. academicPhotos\academicPhotos0003677.jpg,5,503.479614
220,dataset\81. academicPhotos\academicPhotos0000228.jpg,0,502.199585
2457,dataset\81. academicPhotos\academicPhotos0002630.jpg,1,501.689087
5103,dataset\81. academicPhotos\academicPhotos0005551.jpg,0,501.511169
780,dataset\81. academicPhotos\academicPhotos0000816.jpg,0,501.497437
4714,dataset\81. academicPhotos\academicPhotos0005141.jpg,2,501.439453
4318,dataset\81. academicPhotos\academicPhotos0004716.jpg,9,501.299438
4543,dataset\81. academicPhotos\academicPhotos0004950.jpg,3,501.274902
3349,dataset\81. academicPhotos\academicPhotos0003626.jpg,7,501.164185
1199,dataset\81. academicPhotos\academicPhotos0001282.jpg,5,500.381287
2946,dataset\81. academicPhotos\academicPhotos0003150.jpg,0,499.595581
50,dataset\81. academicPhotos\academicPhotos0000052.jpg,0,499.411133
3647,dataset\81. academicPhotos\academicPhotos0003972.jpg,4,499.056030
3354,dataset\81. academicPhotos\academicPhotos0003634.jpg,0,498.984863
3356,dataset\81. academicPhotos\academicPhotos0003636.jpg,0,498.984863
1162,dataset\81. academicPhotos\academicPhotos0001239.jpg,9,498.894897
218,dataset\81. academicPhotos\academicPhotos0000226.jpg,1,498.684204
747,dataset\81. academicPhotos\academicPhotos0000777.jpg,0,498.563599
649,dataset\81. academicPhotos\academicPhotos0000676.jpg,4,498.200073
134,dataset\81. academicPhotos\academicPhotos0000136.jpg,0,498.171997
1054,dataset\81. academicPhotos\academicPhotos0001126.jpg,1,497.376587
3871,dataset\81. academicPhotos\academicPhotos0004210.jpg,0,496.661987
85,dataset\81. academicPhotos\academicPhotos0000087.jpg,1,496.595581
1461,dataset\81. academicPhotos\academicPhotos0001555.jpg,1,496.031128
1070,dataset\81. academicPhotos\academicPhotos0001142.jpg,3,495.887695
1077,dataset\81. academicPhotos\academicPhotos0001149.jpg,3,495.887695
109,dataset\81. academicPhotos\academicPhotos0000111.jpg,3,495.753296
1454,dataset\81. academicPhotos\academicPhotos0001548.jpg,1,495.736572
1280,dataset\81. academicPhotos\academicPhotos0001365.jpg,3,495.464722
1285,dataset\81. academicPhotos\academicPhotos0001371.jpg,3,495.464722
5418,dataset\81. academicPhotos\academicPhotos0005882.jpg,3,495.099548
3662,dataset\81. academicPhotos\academicPhotos0003988.jpg,9,495.047729
2989,dataset\81. academicPhotos\academicPhotos0003197.jpg,2,493.738037
4971,dataset\81. academicPhotos\academicPhotos0005410.jpg,7,493.670532
292,dataset\81. academicPhotos\academicPhotos0000304.jpg,1,493.510498
4061,dataset\81. academicPhotos\academicPhotos0004435.jpg,0,493.465027
928,dataset\81. academicPhotos\academicPhotos0000984.jpg,0,493.388123
571,dataset\81. academicPhotos\academicPhotos0000592.jpg,1,492.917236
1278,dataset\81. academicPhotos\academicPhotos0001363.jpg,3,492.397217
491,dataset\81. academicPhotos\academicPhotos0000510.jpg,8,492.074768
1716,dataset\81. academicPhotos\academicPhotos0001832.jpg,0,491.914124
1297,dataset\81. academicPhotos\academicPhotos0001383.jpg,3,491.793396
21,dataset\81. academicPhotos\academicPhotos0000021.jpg,1,491.719604
3918,dataset\81. academicPhotos\academicPhotos0004269.jpg,8,490.825317
453,dataset\81. academicPhotos\academicPhotos0000470.jpg,1,490.111816
112,dataset\81. academicPhotos\academicPhotos0000114.jpg,3,490.024109
1907,dataset\81. academicPhotos\academicPhotos0002033.jpg,5,489.779785
1156,dataset\81. academicPhotos\academicPhotos0001233.jpg,7,489.563599
458,dataset\81. academicPhotos\academicPhotos0000475.jpg,7,489.049500
4632,dataset\81. academicPhotos\academicPhotos0005052.jpg,5,488.631958
2122,dataset\81. academicPhotos\academicPhotos0002255.jpg,4,488.581665
658,dataset\81. academicPhotos\academicPhotos0000686.jpg,2,488.435059
1159,dataset\81. academicPhotos\academicPhotos0001236.jpg,8,488.054688
4637,dataset\81. academicPhotos\academicPhotos0005058.jpg,0,488.051758
4071,dataset\81. academicPhotos\academicPhotos0004445.jpg,3,487.938171
3278,dataset\81. academicPhotos\academicPhotos0003529.jpg,9,486.935303
2645,dataset\81. academicPhotos\academicPhotos0002828.jpg,0,486.913269
3868,dataset\81. academicPhotos\academicPhotos0004207.jpg,8,486.731445
825,dataset\81. academicPhotos\academicPhotos0000870.jpg,8,486.480713
1712,dataset\81. academicPhotos\academicPhotos0001826.jpg,7,486.411194
2202,dataset\81. academicPhotos\academicPhotos0002357.jpg,4,486.397827
3201,dataset\81. academicPhotos\academicPhotos0003438.jpg,0,485.373962
1917,dataset\81. academicPhotos\academicPhotos0002044.jpg,8,484.076843
2285,dataset\81. academicPhotos\academicPhotos0002445.jpg,2,484.010254
802,dataset\81. academicPhotos\academicPhotos0000840.jpg,3,483.966553
2322,dataset\81. academicPhotos\academicPhotos0002489.jpg,2,483.913574
180,dataset\81. academicPhotos\academicPhotos0000187.jpg,1,483.877502
3229,dataset\81. academicPhotos\academicPhotos0003472.jpg,5,483.874268
2172,dataset\81. academicPhotos\academicPhotos0002320.jpg,5,483.021118
108,dataset\81. academicPhotos\academicPhotos0000110.jpg,1,482.544312
4310,dataset\81. academicPhotos\academicPhotos0004706.jpg,9,482.518311
5312,dataset\81. academicPhotos\academicPhotos0005765.jpg,0,482.416016
4048,dataset\81. academicPhotos\academicPhotos0004420.jpg,5,482.073242
3095,dataset\81. academicPhotos\academicPhotos0003318.jpg,4,482.011292
4080,dataset\81. academicPhotos\academicPhotos0004454.jpg,4,481.998779
3353,dataset\81. academicPhotos\academicPhotos0003633.jpg,1,481.856506
3336,dataset\81. academicPhotos\academicPhotos0003611.jpg,1,481.856506
2195,dataset\81. academicPhotos\academicPhotos0002349.jpg,8,481.653992
3187,dataset\81. academicPhotos\academicPhotos0003422.jpg,0,481.303284
664,dataset\81. academicPhotos\academicPhotos0000692.jpg,4,480.961548
3244,dataset\81. academicPhotos\academicPhotos0003490.jpg,0,480.423706
708,dataset\81. academicPhotos\academicPhotos0000736.jpg,2,480.094482
489,dataset\81. academicPhotos\academicPhotos0000508.jpg,1,479.565674
3936,dataset\81. academicPhotos\academicPhotos0004293.jpg,0,479.138672
4813,dataset\81. academicPhotos\academicPhotos0005243.jpg,3,478.842529
1069,dataset\81. academicPhotos\academicPhotos0001141.jpg,3,478.808044
1078,dataset\81. academicPhotos\academicPhotos0001150.jpg,3,478.808044
897,dataset\81. academicPhotos\academicPhotos0000949.jpg,4,478.040710
3205,dataset\81. academicPhotos\academicPhotos0003443.jpg,0,477.380554
