component_id,mean,sum,count,min,max
991,11.971361,12.000000,0.997613,0.996420,1.000000
993,3.999998,4.000000,0.999999,0.999999,0.999999
994,11.972533,12.000000,0.997711,0.996567,0.999999
995,11.968115,12.000000,0.997343,0.996014,1.000000
997,11.977121,12.000000,0.998093,0.997140,1.000000
998,11.968618,12.000000,0.997385,0.996077,1.000000
3191,3.879834,4.000000,0.969959,0.969959,0.969959
999,11.960181,12.000000,0.996682,0.995023,1.000000
1002,3.970825,4.000000,0.992706,0.992706,0.992706
1003,37.178391,38.000000,0.978379,0.964107,0.998380
1005,3.968928,4.000000,0.992232,0.992232,0.992232
1006,3.991152,4.000000,0.997788,0.997788,0.997788
1007,23.467556,24.000000,0.977815,0.966002,0.996696
1009,23.513754,24.000000,0.979740,0.965697,0.996056
1010,11.814111,12.000000,0.984509,0.977946,0.996671
1011,23.610752,24.000000,0.983781,0.960349,1.000000
1013,3.999983,4.000000,0.999996,0.999996,0.999996
3143,11.955436,12.000000,0.996286,0.994429,1.000000
1018,3.983292,4.000000,0.995823,0.995823,0.995823
1019,3.978032,4.000000,0.994508,0.994508,0.994508
1021,3.968141,4.000000,0.992035,0.992035,0.992035
1022,15.675048,16.000000,0.979690,0.965762,0.990715
1023,3.975176,4.000000,0.993794,0.993794,0.993794
1024,3.980859,4.000000,0.995215,0.995215,0.995215
1968,3.999998,4.000000,0.999999,0.999999,0.999999
1025,3.986476,4.000000,0.996619,0.996619,0.996619
1026,3.985253,4.000000,0.996313,0.996313,0.996313
1029,3.985398,4.000000,0.996349,0.996349,0.996349
1031,15.751105,16.000000,0.984444,0.969506,0.997183
1976,3.955225,4.000000,0.988806,0.988806,0.988806
1039,3.981519,4.000000,0.995380,0.995380,0.995380
1040,3.983815,4.000000,0.995954,0.995954,0.995954
1041,3.991630,4.000000,0.997908,0.997908,0.997908
1042,3.988556,4.000000,0.997139,0.997139,0.997139
1045,3.988985,4.000000,0.997246,0.997246,0.997246
1047,3.991776,4.000000,0.997944,0.997944,0.997944
1048,3.986730,4.000000,0.996682,0.996682,0.996682
1049,3.986598,4.000000,0.996649,0.996649,0.996649
1050,3.988033,4.000000,0.997008,0.997008,0.997008
1056,3.977136,4.000000,0.994284,0.994284,0.994284
1872,3.981506,4.000000,0.995376,0.995376,0.995376
1880,3.988258,4.000000,0.997065,0.997065,0.997065
1940,3.955574,4.000000,0.988894,0.988894,0.988894
1944,3.999999,4.000000,1.000000,1.000000,1.000000
1817,3.999999,4.000000,1.000000,1.000000,1.000000
1821,29.279303,30.000000,0.975977,0.963644,0.983013
1168,4.000000,4.000000,1.000000,1.000000,1.000000
1173,4.000000,4.000000,1.000000,1.000000,1.000000
1897,3.853165,4.000000,0.963291,0.963291,0.963291
2402,3.920218,4.000000,0.980055,0.980055,0.980055
2354,3.999999,4.000000,1.000000,1.000000,1.000000
1211,4.000000,4.000000,1.000000,1.000000,1.000000
1805,3.925066,4.000000,0.981266,0.981266,0.981266
1212,3.999998,4.000000,1.000000,1.000000,1.000000
1213,4.000000,4.000000,1.000000,1.000000,1.000000
1214,4.000000,4.000000,1.000000,1.000000,1.000000
1877,3.984820,4.000000,0.996205,0.996205,0.996205
2594,3.999999,4.000000,1.000000,1.000000,1.000000
2418,19.690548,20.000000,0.984527,0.966306,0.988909
1282,3.936537,4.000000,0.984134,0.984134,0.984134
1664,3.988562,4.000000,0.997141,0.997141,0.997141
1676,3.966623,4.000000,0.991656,0.991656,0.991656
4058,3.987699,4.000000,0.996925,0.996925,0.996925
2301,3.982749,4.000000,0.995687,0.995687,0.995687
2299,11.940614,12.000000,0.995051,0.992577,1.000000
1373,4.000000,4.000000,1.000000,1.000000,1.000000
1376,4.000000,4.000000,1.000000,1.000000,1.000000
1377,3.999999,4.000000,1.000000,1.000000,1.000000
1688,3.967815,4.000000,0.991954,0.991954,0.991954
1692,13.711597,14.000000,0.979400,0.967595,1.000000
1772,3.984837,4.000000,0.996209,0.996209,0.996209
1748,3.999994,4.000000,0.999998,0.999998,0.999998
1464,3.982014,4.000000,0.995504,0.995504,0.995504
1467,15.972319,16.000000,0.998270,0.993080,1.000000
1468,15.988535,16.000000,0.999283,0.997136,1.000000
1469,15.988101,16.000000,0.999256,0.997026,1.000000
1470,15.979183,16.000000,0.998699,0.994796,1.000000
1478,19.366627,20.000000,0.968331,0.961516,0.972441
2850,44.362202,46.000000,0.964396,0.960314,0.974907
1485,3.912223,4.000000,0.978056,0.978056,0.978056
3875,3.851402,4.000000,0.962850,0.962850,0.962850
3891,3.999625,4.000000,0.999906,0.999906,0.999906
1502,3.998512,4.000000,0.999628,0.999628,0.999628
1508,3.984477,4.000000,0.996119,0.996119,0.996119
1512,3.957938,4.000000,0.989484,0.989484,0.989484
1515,3.986151,4.000000,0.996538,0.996538,0.996538
1516,3.981498,4.000000,0.995375,0.995375,0.995375
1517,3.983061,4.000000,0.995765,0.995765,0.995765
1520,11.987627,12.000000,0.998969,0.998453,1.000000
1523,11.902577,12.000000,0.991881,0.987822,1.000000
1524,3.963466,4.000000,0.990866,0.990866,0.990866
1531,7.738190,8.000000,0.967274,0.964294,0.970254
2120,3.969465,4.000000,0.992366,0.992366,0.992366
2114,3.972183,4.000000,0.993046,0.993046,0.993046
1536,17.428492,18.000000,0.968250,0.960439,0.973286
1546,3.975928,4.000000,0.993982,0.993982,0.993982
1551,3.918495,4.000000,0.979624,0.979624,0.979624
2957,3.937425,4.000000,0.984356,0.984356,0.984356
1567,11.562482,12.000000,0.963540,0.960750,0.966794
1576,3.859009,4.000000,0.964752,0.964752,0.964752
1584,3.848042,4.000000,0.962011,0.962011,0.962011
3069,3.996518,4.000000,0.999130,0.999130,0.999130
3067,3.993673,4.000000,0.998418,0.998418,0.998418
1639,3.844515,4.000000,0.961129,0.961129,0.961129
1663,3.939217,4.000000,0.984804,0.984804,0.984804
2840,3.972684,4.000000,0.993171,0.993171,0.993171
1694,3.840571,4.000000,0.960143,0.960143,0.960143
1726,3.988434,4.000000,0.997109,0.997109,0.997109
1771,3.981347,4.000000,0.995337,0.995337,0.995337
1773,4.000000,4.000000,1.000000,1.000000,1.000000
1774,3.977391,4.000000,0.994348,0.994348,0.994348
1779,3.999999,4.000000,1.000000,1.000000,1.000000
1790,3.918610,4.000000,0.979653,0.979653,0.979653
1800,4.000000,4.000000,1.000000,1.000000,1.000000
1866,3.973565,4.000000,0.993391,0.993391,0.993391
1871,3.981723,4.000000,0.995431,0.995431,0.995431
2278,3.989763,4.000000,0.997441,0.997441,0.997441
1914,3.954931,4.000000,0.988733,0.988733,0.988733
2584,3.966105,4.000000,0.991526,0.991526,0.991526
1949,4.000000,4.000000,1.000000,1.000000,1.000000
2003,4.000000,4.000000,1.000000,1.000000,1.000000
2006,4.000000,4.000000,1.000000,1.000000,1.000000
3380,3.870279,4.000000,0.967570,0.967570,0.967570
2722,3.999998,4.000000,1.000000,1.000000,1.000000
2037,27.217562,28.000000,0.972056,0.961473,0.999929
2119,3.980926,4.000000,0.995232,0.995232,0.995232
2632,4.000000,4.000000,1.000000,1.000000,1.000000
4018,4.000000,4.000000,1.000000,1.000000,1.000000
2054,4.000000,4.000000,1.000000,1.000000,1.000000
2059,11.912048,12.000000,0.992671,0.989005,1.000000
2061,3.890018,4.000000,0.972504,0.972504,0.972504
2063,4.000000,4.000000,1.000000,1.000000,1.000000
2086,3.999998,4.000000,1.000000,1.000000,1.000000
3417,3.869282,4.000000,0.967320,0.967320,0.967320
4825,3.872918,4.000000,0.968230,0.968230,0.968230
2112,3.983342,4.000000,0.995836,0.995836,0.995836
2113,3.970636,4.000000,0.992659,0.992659,0.992659
2115,3.984749,4.000000,0.996187,0.996187,0.996187
2116,3.980245,4.000000,0.995061,0.995061,0.995061
2117,3.977933,4.000000,0.994483,0.994483,0.994483
