from,to,distance
5357,9170,0.706331
8662,1482,0.706232
9050,2678,0.706171
5367,12031,0.706138
7127,7083,0.706020
1345,2658,0.706012
11615,8285,0.705980
11735,3364,0.705975
3306,5830,0.705935
9556,4899,0.705908
8491,11003,0.705772
10267,3128,0.705690
9514,7870,0.705651
4028,1930,0.705609
9262,8064,0.705601
1086,524,0.705593
818,680,0.705589
3215,2884,0.705562
7782,8438,0.705538
5646,659,0.705522
8809,8103,0.705458
7706,8727,0.705453
4314,5276,0.705425
1662,7243,0.705420
10285,9016,0.705407
7875,5468,0.705405
2121,4238,0.705399
10858,8367,0.705334
1753,9650,0.705317
738,735,0.705296
2312,11476,0.705259
7103,6833,0.705233
9843,9134,0.705227
6446,8181,0.705213
9500,10284,0.705153
481,8145,0.705085
3232,10590,0.705074
9686,7247,0.705020
11494,4507,0.704965
7103,5147,0.704833
8121,11462,0.704813
1780,4702,0.704751
11137,5247,0.704745
10994,883,0.704736
1849,3946,0.704718
9808,9580,0.704702
8726,2145,0.704689
203,4586,0.704661
4896,4271,0.704629
5101,3706,0.704539
9808,8936,0.704538
8936,9808,0.704538
8806,9064,0.704479
5061,10702,0.704452
1981,4451,0.704438
811,10427,0.704303
9467,2658,0.704301
3737,10458,0.704170
3225,9204,0.704151
10914,5812,0.704055
5812,10914,0.704055
2874,10531,0.703993
10662,8161,0.703976
2778,7104,0.703838
10386,9114,0.703837
11212,3569,0.703677
4930,10631,0.703647
5229,10681,0.703621
5985,5049,0.703531
8943,11981,0.703483
7648,7478,0.703312
5266,3500,0.703301
1517,4869,0.703274
11759,3005,0.703250
9642,8936,0.703201
8936,9642,0.703201
8491,4800,0.703201
3446,10887,0.703139
9618,8236,0.703133
3628,5030,0.703113
1086,714,0.703087
10197,5362,0.703066
9572,8562,0.703064
10734,7528,0.702888
7692,2008,0.702711
10994,8622,0.702694
11185,2616,0.702661
2977,3061,0.702539
3308,6782,0.702506
9543,7940,0.702414
3151,3171,0.702381
11904,11894,0.702338
8970,2080,0.702320
10912,10911,0.702295
10720,10911,0.702273
1392,1265,0.702105
10619,68,0.702009
8848,5864,0.701994
5296,10371,0.701897
1474,5156,0.701878
5156,1474,0.701878
4513,2440,0.701871
7279,5403,0.701847
2631,9105,0.701841
9597,5740,0.701780
10513,8285,0.701746
8171,9771,0.701659
7706,5299,0.701657
5319,7035,0.701654
4853,5961,0.701628
5466,11638,0.701585
8745,4125,0.701515
10642,4805,0.701469
10604,5436,0.701449
5306,3277,0.701439
10201,8114,0.701342
11615,10738,0.701341
9455,8269,0.701335
5706,5129,0.701334
10775,8785,0.701294
10149,2675,0.701293
2778,3614,0.701257
4533,9678,0.701240
10383,4706,0.701197
1299,11048,0.701165
3214,9752,0.701060
9752,3214,0.701060
5170,8188,0.701056
5570,5263,0.700976
7127,3059,0.700893
1890,4980,0.700885
7405,10260,0.700866
2744,10265,0.700860
6377,1323,0.700823
1328,4158,0.700811
3876,4934,0.700796
4105,3111,0.700796
4019,3703,0.700791
1834,2166,0.700763
1981,104,0.700728
7405,6790,0.700691
6461,6122,0.700669
4224,10256,0.700603
8741,8656,0.700556
10940,9333,0.700547
4303,8623,0.700466
5128,5486,0.700407
10013,5404,0.700236
1113,8602,0.700187
8960,10100,0.700181
11223,8241,0.700158
2662,8835,0.700017
818,637,0.699983
8960,10912,0.699983
10912,8960,0.699983
4511,10761,0.699978
4896,1715,0.699970
9556,7999,0.699944
7999,9556,0.699944
6069,3895,0.699934
10013,347,0.699926
6768,10247,0.699887
8885,10867,0.699811
8148,6269,0.699796
9853,3876,0.699784
6782,9827,0.699767
2182,8380,0.699738
7070,7256,0.699694
9024,5311,0.699675
10515,8538,0.699669
1753,10391,0.699580
5319,7668,0.699573
8824,2973,0.699499
887,4738,0.699461
9024,4785,0.699455
5665,2628,0.699382
7474,8700,0.699322
1314,8754,0.699319
11242,4247,0.699207
11785,1490,0.699182
11670,5313,0.699109
10677,10607,0.699081
3416,3203,0.699074
3203,3416,0.699074
6383,11135,0.699023
5186,4864,0.699015
7474,4732,0.699007
9302,2675,0.698805
5533,3639,0.698733
11013,1850,0.698698
1388,11483,0.698662
10515,1522,0.698586
10285,7568,0.698554
3131,4055,0.698410
9949,11034,0.698352
6377,786,0.698297
3122,5712,0.698271
1007,1020,0.698167
9010,10646,0.698067
8575,4598,0.698012
3131,7518,0.697748
9835,6850,0.697640
8253,9675,0.697599
2631,4639,0.697546
11136,2401,0.697440
140,12082,0.697421
9597,4055,0.697417
3673,8782,0.697323
8214,2320,0.697322
7166,4672,0.697289
9896,6945,0.697250
7209,2085,0.697171
