component_id,mean,sum,count,min,max
2576,3.914989,4.000000,0.978747,0.978747,0.978747
3969,3.954287,4.000000,0.988572,0.988572,0.988572
2602,3.886031,4.000000,0.971508,0.971508,0.971508
2608,11.762539,12.000000,0.980212,0.970000,0.998899
4313,4.000000,4.000000,1.000000,1.000000,1.000000
2627,15.770294,16.000000,0.985643,0.978834,0.996621
2628,3.847744,4.000000,0.961936,0.961936,0.961936
3522,3.991187,4.000000,0.997797,0.997797,0.997797
2643,7.836163,8.000000,0.979520,0.968003,0.991038
2678,3.941831,4.000000,0.985458,0.985458,0.985458
2683,3.958853,4.000000,0.989713,0.989713,0.989713
3347,15.502222,16.000000,0.968889,0.961384,0.981027
2697,3.975018,4.000000,0.993754,0.993754,0.993754
2750,3.964079,4.000000,0.991020,0.991020,0.991020
2751,15.712158,16.000000,0.982010,0.965298,0.993284
2777,3.955582,4.000000,0.988896,0.988896,0.988896
2783,3.999228,4.000000,0.999807,0.999807,0.999807
2787,3.987822,4.000000,0.996956,0.996956,0.996956
2816,3.999517,4.000000,0.999879,0.999879,0.999879
3520,3.976647,4.000000,0.994162,0.994162,0.994162
2894,3.981184,4.000000,0.995296,0.995296,0.995296
2895,3.968053,4.000000,0.992013,0.992013,0.992013
3737,3.950506,4.000000,0.987626,0.987626,0.987626
3606,3.900687,4.000000,0.975172,0.975172,0.975172
2958,3.910102,4.000000,0.977526,0.977526,0.977526
5151,3.931813,4.000000,0.982953,0.982953,0.982953
3694,3.897957,4.000000,0.974489,0.974489,0.974489
3010,3.869313,4.000000,0.967328,0.967328,0.967328
3678,3.939386,4.000000,0.984846,0.984846,0.984846
3033,3.877514,4.000000,0.969379,0.969379,0.969379
5247,3.908663,4.000000,0.977166,0.977166,0.977166
3073,7.834736,8.000000,0.979342,0.960083,0.998601
3097,11.645717,12.000000,0.970476,0.966124,0.976438
4000,19.536369,20.000000,0.976818,0.963856,0.983117
3212,3.952611,4.000000,0.988153,0.988153,0.988153
3268,3.870792,4.000000,0.967698,0.967698,0.967698
3315,3.898243,4.000000,0.974561,0.974561,0.974561
3324,3.860923,4.000000,0.965231,0.965231,0.965231
3344,3.938871,4.000000,0.984718,0.984718,0.984718
