index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
72,dataset\20. ememes\ememes0000072.jpg,800,1557,256,4909.6401,95.4774,0.0000,255.0000,71.8165,193571,1.0000
73,dataset\20. ememes\ememes0000073.jpg,800,891,256,3257.5066,98.4231,0.0000,255.0000,66.5632,111440,1.0000
74,dataset\20. ememes\ememes0000074.jpg,800,891,256,8474.8936,100.2104,0.0000,255.0000,75.4049,157671,1.0000
75,dataset\20. ememes\ememes0000075.jpg,800,1333,256,6896.3994,107.4790,0.0000,255.0000,77.5476,195260,1.0000
76,dataset\20. ememes\ememes0000076.jpg,800,895,256,7854.4053,100.4029,0.0000,255.0000,80.9497,151835,1.0000
77,dataset\20. ememes\ememes0000077.jpg,1422,796,256,10379.2363,102.4872,0.0000,255.0000,81.2165,252045,1.0000
78,dataset\20. ememes\ememes0000078.jpg,800,895,256,5043.3560,129.8226,0.0000,255.0000,75.6532,121307,1.0000
79,dataset\20. ememes\ememes0000079.jpg,800,895,256,4310.4985,91.6057,0.0000,255.0000,80.2631,123680,1.0000
80,dataset\20. ememes\ememes0000080.jpg,800,895,256,2575.5576,104.2966,0.0000,255.0000,67.5378,102496,1.0000
81,dataset\20. ememes\ememes0000081.jpg,1260,1056,256,8026.0527,67.7344,0.0000,255.0000,54.1955,283047,1.0000
82,dataset\20. ememes\ememes0000082.jpg,860,1443,256,6751.7886,72.6975,0.0000,255.0000,60.3710,241291,1.0000
83,dataset\20. ememes\ememes0000083.jpg,1422,796,256,5028.8853,87.7508,0.0000,255.0000,61.3889,208094,1.0000
84,dataset\20. ememes\ememes0000084.jpg,800,895,256,2754.9050,93.0215,0.0000,255.0000,64.5414,112246,1.0000
85,dataset\20. ememes\ememes0000085.jpg,800,895,256,6302.9092,62.4521,0.0000,255.0000,72.4004,137576,1.0000
86,dataset\20. ememes\ememes0000086.jpg,860,1443,256,7757.4331,45.8337,0.0000,255.0000,61.3444,207676,1.0000
87,dataset\20. ememes\ememes0000087.jpg,800,895,256,4827.8613,77.8442,0.0000,255.0000,75.5734,128502,1.0000
